,Fullattempt_count,rates,group_x,offset_x,FullSuccess_count,group_y,offset_y,Success_probability
0,2563.0,0,0,0,2563.0,0,0,1.0
1,1304.0,1,0,1,1304.0,0,1,1.0
2,11048.0,2,0,2,11036.0,0,2,0.998913830557567
3,5360.0,3,0,3,5332.0,0,3,0.994776119402985
4,10900.0,4,0,4,8667.0,0,4,0.7951376146788991
5,1524.0,5,0,5,0.0,0,0,0.0
6,1484.0,6,0,6,0.0,0,6,0.0
7,3636.0,7,0,7,0.0,0,0,0.0
8,4708.0,10,1,0,4708.0,1,0,1.0
9,4760.0,11,1,1,4758.0,1,1,0.9995798319327731
10,3741.0,12,1,2,3540.0,1,2,0.946271050521251
11,1266.0,13,1,3,105.0,1,3,0.08293838862559241
12,1409.0,14,1,4,0.0,0,0,0.0
13,1908.0,15,1,5,0.0,0,0,0.0
14,1744.0,16,1,6,0.0,1,6,0.0
15,1497.0,17,1,7,0.0,1,7,0.0
16,9044.0,40,4,0,9030.0,4,0,0.9984520123839009
17,3121.0,41,4,1,3120.0,4,1,0.99967958987504
18,7830.0,42,4,2,7818.0,4,2,0.9984674329501916
19,6251.0,43,4,3,6189.0,4,3,0.9900815869460886
20,7223.0,44,4,4,3389.0,4,4,0.4691956250865291
21,1577.0,45,4,5,0.0,0,0,0.0
22,4366.0,46,4,6,0.0,0,0,0.0
23,1320.0,47,4,7,0.0,0,0,0.0
24,8620.0,50,5,0,8620.0,5,0,1.0
25,3165.0,51,5,1,3160.0,5,1,0.9984202211690363
26,4258.0,52,5,2,3716.0,5,2,0.8727101925786754
27,2434.0,53,5,3,36.0,5,3,0.014790468364831553
28,1989.0,54,5,4,0.0,0,0,0.0
29,1765.0,55,5,5,0.0,5,5,0.0
30,1153.0,56,5,6,0.0,5,6,0.0
31,1046.0,57,5,7,0.0,0,0,0.0
32,3206.0,80,8,0,3202.0,8,0,0.9987523393636931
33,4220.0,81,8,1,4206.0,8,1,0.9966824644549763
34,2421.0,82,8,2,2252.0,8,2,0.9301941346551011
35,4040.0,83,8,3,47.0,8,3,0.011633663366336634
36,795.0,84,8,4,0.0,0,0,0.0
37,577.0,85,8,5,0.0,0,0,0.0
38,118.0,86,8,6,0.0,8,6,0.0
39,608.0,87,8,7,0.0,0,0,0.0
40,6147.0,90,9,0,6099.0,9,0,0.9921913128355295
41,10522.0,91,9,1,6970.0,9,1,0.6624215928530698
42,1050.0,92,9,2,0.0,9,2,0.0
43,332.0,93,9,3,0.0,9,3,0.0
44,659.0,94,9,4,0.0,0,0,0.0
45,538.0,95,9,5,0.0,0,0,0.0
46,1641.0,96,9,6,0.0,9,6,0.0
47,1087.0,97,9,7,0.0,0,0,0.0
48,3619.0,c0,c,0,3619.0,c,0,1.0
49,10221.0,c1,c,1,10160.0,c,1,0.9940318951178946
50,5536.0,c2,c,2,5068.0,c,2,0.9154624277456648
51,1973.0,c3,c,3,0.0,0,0,0.0
52,643.0,c4,c,4,0.0,0,0,0.0
53,1376.0,c5,c,5,0.0,0,0,0.0
54,988.0,c6,c,6,0.0,0,0,0.0
55,1245.0,c7,c,7,0.0,0,0,0.0
56,7885.0,d0,d,0,7723.0,d,0,0.9794546607482562
57,5923.0,d1,d,1,3161.0,d,1,0.5336822556137093
58,753.0,d2,d,2,0.0,d,2,0.0
59,715.0,d3,d,3,0.0,0,0,0.0
60,1750.0,d4,d,4,0.0,d,4,0.0
61,1890.0,d5,d,5,0.0,0,0,0.0
62,552.0,d6,d,6,0.0,0,0,0.0
63,348.0,d7,d,7,0.0,d,7,0.0
64,1042.0,110,11,0,19.0,11,0,0.018234165067178502
